Date,Open,High,Low,Close,Adj Close,Volume
2013-12-20,554.000000,569.750000,551.799988,568.700012,499.333496,1130685
2013-12-23,567.000000,571.049988,564.049988,565.200012,496.260529,497585
2013-12-24,566.000000,570.000000,563.900024,565.099976,496.172668,534468
2013-12-26,564.000000,569.500000,561.900024,563.599976,494.855469,2061908
2013-12-27,563.549988,572.900024,562.000000,568.750000,499.377411,741157
2013-12-30,571.250000,576.900024,568.700012,573.349976,503.416412,758816
2013-12-31,576.849976,576.849976,568.349976,570.650024,501.045685,382527
2014-01-01,570.650024,574.400024,569.299988,572.349976,502.538269,251204
2014-01-02,571.000000,575.750000,558.599976,562.400024,493.801941,531660
2014-01-03,560.000000,567.400024,558.049988,565.000000,496.084869,1018173
2014-01-06,567.000000,567.799988,560.200012,563.500000,494.767883,603727
2014-01-07,563.000000,565.900024,556.000000,558.950012,490.772736,605461
2014-01-08,558.000000,562.150024,557.000000,559.150024,490.948334,564149
2014-01-09,560.000000,560.000000,553.799988,554.150024,486.558228,854783
2014-01-10,555.349976,556.950012,548.400024,549.799988,482.738861,985783
2014-01-13,550.000000,552.000000,543.500000,545.700012,479.138916,1488598
2014-01-14,545.099976,548.900024,537.200012,538.400024,472.729370,925057
2014-01-15,538.500000,546.200012,538.099976,545.200012,478.699890,2060042
2014-01-16,545.000000,552.650024,544.250000,552.099976,484.758240,1221864
2014-01-17,553.000000,563.000000,552.500000,558.900024,490.728912,1475015
2014-01-20,559.900024,562.299988,548.299988,555.099976,487.392487,1549558
2014-01-21,555.799988,561.000000,548.799988,559.799988,491.519196,1927455
2014-01-22,561.950012,567.849976,552.900024,566.450012,497.358032,1892894
2014-01-23,567.000000,570.000000,560.150024,567.099976,497.928680,856175
2014-01-24,563.000000,568.849976,556.599976,565.799988,496.787140,2366263
2014-01-27,563.400024,584.900024,555.099976,575.250000,505.084717,3220246
2014-01-28,581.000000,581.650024,554.500000,569.700012,500.211578,4204432
2014-01-29,569.000000,574.799988,563.549988,569.599976,500.123718,1073771
2014-01-30,563.549988,572.799988,559.700012,570.400024,500.826172,1287033
2014-01-31,569.000000,573.799988,565.000000,570.099976,500.562775,1059275
2014-02-03,569.099976,574.250000,564.799988,569.750000,500.255524,747170
2014-02-04,568.099976,573.200012,565.299988,570.250000,500.694489,1891501
2014-02-05,570.049988,571.200012,561.599976,570.000000,500.474945,2423902
2014-02-06,570.000000,588.200012,568.299988,586.549988,515.006165,1720369
2014-02-07,587.400024,589.650024,574.950012,577.650024,507.191956,927008
2014-02-10,575.650024,579.750000,562.650024,564.000000,495.206696,1255220
2014-02-11,565.000000,569.349976,561.799988,562.450012,493.845978,1580976
2014-02-12,564.849976,570.349976,563.400024,569.450012,499.991974,1646508
2014-02-13,572.000000,572.000000,555.549988,557.250000,489.280090,486480
2014-02-14,557.000000,563.450012,553.299988,560.250000,491.914246,749383
2014-02-17,558.000000,566.000000,558.000000,560.250000,491.914246,380480
2014-02-18,560.000000,566.000000,559.950012,562.250000,493.670319,237065
2014-02-19,562.500000,562.849976,557.150024,558.700012,490.553223,456096
2014-02-20,558.099976,558.900024,553.099976,554.049988,486.470520,651988
2014-02-21,557.400024,557.400024,551.849976,555.349976,487.611877,669715
2014-02-24,555.250000,557.700012,553.200012,554.900024,487.216827,540669
2014-02-25,555.500000,556.900024,553.000000,554.450012,486.821686,541460
2014-02-26,554.000000,559.500000,553.200012,554.750000,487.085022,1012749
2014-02-28,554.000000,556.000000,542.349976,549.250000,482.255920,1797780
2014-03-03,550.000000,550.950012,542.000000,543.200012,476.943878,608894
2014-03-04,544.000000,556.000000,544.000000,554.900024,487.216827,734703
2014-03-05,555.599976,559.000000,549.750000,551.200012,483.968018,621406
2014-03-06,552.599976,554.549988,547.400024,549.049988,482.080353,1020063
2014-03-07,550.500000,554.450012,547.200012,550.400024,483.265594,1001114
2014-03-10,552.000000,559.799988,548.750000,557.200012,489.236237,1663986
2014-03-11,558.799988,564.900024,552.650024,560.349976,492.001984,1920661
2014-03-12,564.000000,565.599976,558.000000,560.250000,491.914246,971639
2014-03-13,561.000000,567.200012,559.250000,561.849976,493.318970,1055369
2014-03-14,561.849976,562.000000,551.549988,553.650024,486.119263,1243425
2014-03-18,554.000000,560.000000,550.599976,556.049988,488.226471,1464949
2014-03-19,558.099976,562.099976,554.650024,561.599976,493.099548,1164209
2014-03-20,561.599976,574.299988,561.549988,572.549988,502.713928,1434348
2014-03-21,577.700012,580.700012,570.099976,571.700012,501.967590,2669144
2014-03-22,null,null,null,null,null,null
2014-03-24,575.000000,584.000000,574.150024,582.349976,511.318634,944114
2014-03-25,583.000000,594.400024,577.500000,592.750000,520.450073,1319832
2014-03-26,593.000000,599.400024,588.349976,591.549988,519.396423,1208051
2014-03-27,592.000000,603.000000,590.049988,599.799988,526.640137,2475382
2014-03-28,600.099976,604.000000,590.299988,599.799988,526.640137,949077
2014-03-31,600.000000,608.849976,595.000000,605.549988,531.688843,1090563
2014-04-01,605.000000,607.950012,595.349976,601.750000,528.352295,716986
2014-04-02,604.000000,605.900024,588.000000,594.599976,522.074341,2765610
2014-04-03,590.349976,612.000000,590.349976,606.299988,532.347351,736770
2014-04-04,611.000000,613.500000,602.500000,605.299988,531.469177,877772
2014-04-07,605.299988,609.049988,596.049988,604.799988,531.030334,1601644
2014-04-09,604.000000,611.500000,599.549988,609.099976,534.805786,774135
2014-04-10,607.900024,619.799988,604.450012,617.900024,542.532471,1164071
2014-04-11,613.000000,619.500000,606.250000,609.400024,535.069275,713696
2014-04-15,609.000000,614.700012,594.150024,612.150024,537.483582,938013
2014-04-16,610.000000,619.200012,606.000000,607.549988,533.444946,1340297
2014-04-17,607.150024,613.849976,601.549988,609.450012,535.113037,1052882
2014-04-21,606.349976,610.900024,596.500000,599.099976,526.025513,1190995
2014-04-22,599.000000,604.000000,593.549988,596.450012,523.698914,871928
2014-04-23,596.450012,599.099976,593.000000,595.500000,522.864624,1408755
2014-04-24,595.500000,595.500000,595.500000,595.500000,522.864624,0
2014-04-25,592.349976,598.950012,577.599976,580.900024,510.045410,973004
2014-04-28,580.900024,592.000000,567.500000,581.000000,510.133362,2948014
2014-04-29,581.000000,582.099976,560.599976,562.450012,493.845978,1464745
2014-04-30,560.299988,572.150024,556.000000,567.500000,498.279999,1680382
2014-05-02,569.750000,575.599976,561.200012,562.150024,493.582550,665237
2014-05-05,560.349976,562.349976,556.500000,557.150024,489.192261,683052
2014-05-06,559.000000,561.799988,552.799988,553.700012,486.163177,550299
2014-05-07,553.000000,558.450012,551.450012,553.150024,485.680176,1299628
2014-05-08,552.000000,558.900024,551.000000,552.299988,484.933929,885656
2014-05-09,552.000000,560.000000,550.250000,556.299988,488.446014,1133925
2014-05-12,555.549988,573.000000,555.549988,571.500000,501.791962,852578
2014-05-13,574.000000,579.900024,569.000000,577.599976,507.148071,1328341
2014-05-14,579.500000,581.900024,575.000000,577.500000,507.060211,660415
2014-05-15,577.500000,590.200012,577.500000,588.950012,517.113647,1239775
2014-05-16,599.849976,608.000000,574.099976,580.700012,509.869934,2603086
2014-05-19,594.000000,594.000000,551.549988,555.799988,488.007050,2026178
2014-05-20,556.000000,569.950012,555.049988,562.599976,493.977570,1281049
2014-05-21,565.400024,565.400024,557.700012,561.349976,492.880127,923443
2014-05-22,566.000000,566.000000,560.000000,562.900024,494.240997,963817
2014-05-23,564.000000,570.349976,559.000000,561.500000,493.011719,1759792
2014-05-26,562.099976,564.849976,556.000000,559.849976,491.562958,1826156
2014-05-27,557.349976,562.750000,557.349976,560.150024,491.826508,1168048
